Time,X,Y,Z
1519404680.07,4.06549596786,1.07690429688,8.88114643097
1519404680.1,4.01537036896,1.09733653069,8.86717128754
1519404680.15,4.03442716599,1.04092895985,8.89370346069
1519404680.2,4.00708532333,1.0976126194,8.82625484467
1519404680.24,3.99854040146,1.04307758808,8.92988109589
1519404680.29,4.04287815094,1.12142765522,8.84284114838
1519404680.35,4.06176948547,1.06080853939,8.96166801453
1519404680.41,4.00343561172,1.03754544258,8.863240242
1519404680.44,4.02712869644,1.03922820091,8.96847248077
1519404680.49,4.04040622711,1.10316812992,8.88945865631
1519404680.54,4.04525136948,1.04959464073,8.85054111481
1519404680.58,4.06668186188,1.11515438557,8.88608169556
1519404680.64,4.0391907692,1.06121873856,8.90086078644
1519404680.7,4.06909513474,1.08414506912,8.87185287476
1519404680.74,4.08211231232,1.02628099918,8.93693065643
1519404680.78,4.04160833359,1.09243285656,8.88471412659
1519404680.83,4.01659154892,1.08786869049,8.85191631317
1519404680.88,4.01531839371,1.11986923218,8.89653873444
1519404680.93,4.01533699036,1.12352895737,8.88604640961
1519404680.98,4.08573246002,1.06829333305,8.91618442535
1519404681.03,4.02479314804,1.035836339,8.93922996521
1519404681.1,4.08347415924,1.0819414854,8.84381580353
1519404681.13,4.00817060471,1.04217290878,8.88665294647
1519404681.2,4.0785112381,1.06568801403,8.94770812988
1519404681.24,4.05833530426,1.09964990616,8.87895011902
1519404681.28,4.06188249588,1.06123423576,8.89856433868
1519404681.34,4.0464053154,1.10567092896,8.87312602997
1519404681.4,4.02124452591,1.09338510036,8.92091274261
1519404681.43,4.0619597435,1.10220015049,8.85560035706
1519404681.48,4.03918647766,1.01813602448,8.90290641785
1519404681.53,4.0201382637,1.05902349949,8.87159538269
1519404681.58,4.0295920372,1.04070830345,8.92641544342
1519404681.63,4.01051425934,1.12215936184,8.91173839569
1519404681.7,4.02484560013,1.05756688118,8.9101600647
1519404681.74,4.04157304764,1.12938416004,8.90483093262
1519404681.78,3.99385404587,1.05059444904,8.8796710968
1519404681.83,4.07258892059,1.09577691555,8.92102050781
1519404681.88,4.03799724579,1.05882608891,8.90084266663
1519404681.93,4.04044818878,1.09375536442,8.86602306366
1519404681.98,4.03439807892,1.07072603703,8.91026592255
1519404682.03,4.02606058121,1.09473085403,8.89872646332
1519404682.09,4.03320169449,1.07669961452,8.91147232056
1519404682.13,4.06543922424,1.1185618639,8.91298103333
1519404682.2,4.08937501907,1.07569980621,8.88234996796
1519404682.24,4.05950069427,1.09714686871,8.8952960968
1519404682.28,4.0726351738,1.10910964012,8.89540100098
1519404682.34,4.03087043762,1.06973481178,8.87986660004
1519404682.4,4.04874944687,1.08636450768,8.89754104614
1519404682.43,4.05230283737,1.08027267456,8.91386795044
1519404682.48,4.02367019653,1.08515262604,8.8998260498
1519404682.53,4.04875802994,1.02658104897,8.89246368408
1519404682.58,4.05121946335,1.09384989738,8.85201835632
1519404682.63,4.04511499405,1.05147480965,8.92651557922
1519404682.69,4.01401090622,1.07278776169,8.95932579041
1519404682.73,4.04042291641,1.05059397221,8.87975502014
1519404682.78,4.06793451309,1.08786022663,8.85317611694
1519404682.82,4.10364961624,1.11616873741,8.91303253174
